WeekDate,climate change matches,corporate governance matches,ESG matches,social responsibility matches,sustainability matches
2012-10-29,1467.0,72.0,26.0,1551.0,346.0
2012-11-05,1539.0,103.0,19.0,1262.0,319.0
2012-11-12,1427.0,61.0,24.0,1544.0,362.0
2012-11-19,1451.0,61.0,20.0,1183.0,413.0
2012-11-26,1557.0,85.0,25.0,1123.0,333.0
2012-12-03,1784.0,69.0,26.0,1259.0,286.0
2012-12-10,1369.0,64.0,22.0,1325.0,323.0
2012-12-17,1055.0,52.0,26.0,1418.0,300.0
2012-12-24,1134.0,34.0,16.0,1108.0,204.0
2012-12-31,966.0,43.0,9.0,1284.0,310.0
2013-01-07,1342.0,69.0,23.0,1451.0,345.0
2013-01-14,1223.0,71.0,22.0,1366.0,328.0
2013-01-21,2203.0,53.0,14.0,1653.0,284.0
2013-01-28,1178.0,61.0,18.0,1410.0,331.0
2013-02-04,1349.0,56.0,15.0,1190.0,314.0
2013-02-11,1745.0,66.0,20.0,1264.0,346.0
2013-02-18,1534.0,101.0,29.0,1245.0,318.0
2013-02-25,1321.0,72.0,25.0,1284.0,378.0
2013-03-04,1261.0,121.0,29.0,1077.0,391.0
2013-03-11,1237.0,68.0,30.0,1253.0,197.0
2013-03-18,1156.0,109.0,29.0,1530.0,397.0
2013-03-25,1174.0,61.0,39.0,1463.0,408.0
2013-04-01,1150.0,87.0,40.0,1301.0,427.0
2013-04-08,1330.0,82.0,29.0,1408.0,464.0
2013-04-15,1214.0,61.0,15.0,1419.0,512.0
2013-04-22,1020.0,67.0,23.0,1331.0,502.0
2013-04-29,1073.0,56.0,20.0,1254.0,408.0
2013-05-06,1178.0,62.0,35.0,1157.0,385.0
2013-05-13,1056.0,76.0,33.0,1364.0,356.0
2013-05-20,1145.0,242.0,22.0,1284.0,347.0
2013-05-27,992.0,61.0,25.0,1278.0,359.0
2013-06-03,978.0,75.0,33.0,1339.0,349.0
2013-06-10,1408.0,80.0,29.0,938.0,363.0
2013-06-17,1288.0,84.0,36.0,1079.0,362.0
2013-06-24,1765.0,63.0,30.0,1166.0,298.0
2013-07-01,1400.0,54.0,32.0,1143.0,288.0
2013-07-08,1188.0,60.0,48.0,1232.0,347.0
2013-07-15,1251.0,74.0,18.0,1280.0,289.0
2013-07-22,1029.0,38.0,21.0,1202.0,330.0
2013-07-29,1115.0,62.0,21.0,1238.0,357.0
2013-08-05,1224.0,47.0,19.0,1196.0,323.0
2013-08-12,1062.0,73.0,21.0,1191.0,294.0
2013-08-19,1246.0,45.0,38.0,1305.0,266.0
2013-08-26,903.0,38.0,62.0,1235.0,326.0
2013-09-02,1039.0,54.0,24.0,1426.0,299.0
2013-09-09,1190.0,43.0,38.0,1276.0,366.0
2013-09-16,1476.0,107.0,16.0,1402.0,321.0
2013-09-23,1635.0,57.0,32.0,1404.0,408.0
2013-09-30,1045.0,39.0,25.0,1504.0,331.0
2013-10-07,1194.0,63.0,24.0,1326.0,374.0
2013-10-14,1174.0,57.0,34.0,1409.0,382.0
2013-10-21,1015.0,51.0,24.0,1268.0,369.0
2013-10-28,1156.0,53.0,26.0,1325.0,353.0
2013-11-04,1205.0,46.0,28.0,1294.0,336.0
2013-11-11,1335.0,58.0,35.0,1280.0,349.0
2013-11-18,1545.0,47.0,24.0,1202.0,339.0
2013-11-25,966.0,49.0,35.0,935.0,387.0
2013-12-02,1152.0,62.0,33.0,1042.0,469.0
2013-12-09,1218.0,55.0,28.0,1178.0,457.0
2013-12-16,1053.0,45.0,22.0,1185.0,275.0
2013-12-23,991.0,13.0,21.0,1115.0,215.0
2013-12-30,1180.0,26.0,27.0,975.0,223.0
2014-01-06,1298.0,41.0,14.0,1208.0,287.0
2014-01-13,1137.0,27.0,19.0,1243.0,386.0
2014-01-20,1267.0,49.0,20.0,1509.0,349.0
2014-01-27,1737.0,48.0,26.0,1243.0,282.0
2014-02-03,1260.0,53.0,42.0,1189.0,348.0
2014-02-10,1483.0,48.0,22.0,1306.0,407.0
2014-02-17,1660.0,45.0,23.0,1255.0,393.0
2014-02-24,1454.0,110.0,20.0,1220.0,384.0
2014-03-03,1542.0,47.0,24.0,1238.0,383.0
2014-03-10,1096.0,63.0,28.0,1137.0,406.0
2014-03-17,1150.0,50.0,35.0,1187.0,375.0
2014-03-24,1297.0,76.0,30.0,1233.0,445.0
2014-03-31,1415.0,46.0,38.0,1258.0,460.0
2014-04-07,1257.0,65.0,31.0,1283.0,465.0
2014-04-14,1589.0,52.0,33.0,1251.0,550.0
2014-04-21,1832.0,75.0,26.0,1133.0,506.0
2014-04-28,1029.0,51.0,26.0,1241.0,457.0
2014-05-05,1913.0,73.0,14.0,1254.0,399.0
2014-05-12,1718.0,69.0,22.0,1194.0,369.0
2014-05-19,1552.0,33.0,23.0,1316.0,391.0
2014-05-26,1662.0,138.0,31.0,1214.0,373.0
2014-06-02,2273.0,89.0,23.0,1202.0,367.0
2014-06-09,1671.0,57.0,16.0,1228.0,404.0
2014-06-16,1581.0,69.0,38.0,1169.0,412.0
2014-06-23,1801.0,58.0,18.0,1121.0,380.0
2014-06-30,1141.0,53.0,24.0,1204.0,305.0
2014-07-07,1273.0,44.0,18.0,1317.0,319.0
2014-07-14,1237.0,56.0,17.0,1526.0,386.0
2014-07-21,1237.0,73.0,24.0,1314.0,440.0
2014-07-28,1219.0,73.0,22.0,1422.0,355.0
2014-08-04,1137.0,78.0,15.0,1236.0,357.0
2014-08-11,1438.0,49.0,16.0,1220.0,374.0
2014-08-18,1102.0,46.0,25.0,1418.0,252.0
2014-08-25,1230.0,71.0,25.0,1338.0,350.0
2014-09-01,1227.0,68.0,35.0,1332.0,395.0
2014-09-08,1374.0,67.0,38.0,1084.0,401.0
2014-09-15,1785.0,96.0,32.0,1575.0,526.0
2014-09-22,2635.0,106.0,17.0,1171.0,434.0
2014-09-29,1660.0,55.0,29.0,1185.0,399.0
2014-10-06,1361.0,40.0,15.0,1201.0,405.0
2014-10-13,1725.0,62.0,22.0,1299.0,404.0
2014-10-20,1441.0,59.0,27.0,1317.0,345.0
2014-10-27,1573.0,57.0,25.0,1402.0,358.0
2014-11-03,1916.0,145.0,18.0,1085.0,332.0
